sex,sex_label,age_group,age_group_label,weight_class_kg,year,result_count,squat_sample_size,avg_squat_kg,bench_sample_size,avg_bench_kg,deadlift_sample_size,avg_deadlift_kg,dataset_updated
M,Males,open_age,Open-age (24–39),66,2024,663,663,179.23,663,115.84,663,211.98,2026-08-31
M,Males,open_age,Open-age (24–39),66,2025,656,656,179.3,656,117.49,656,211.07,2026-08-31
M,Males,open_age,Open-age (24–39),66,2026,362,362,181.91,362,118.5,362,214.03,2026-08-31
M,Males,open_age,Open-age (24–39),74,2022,896,896,188.54,896,123.84,896,222.04,2026-08-31
M,Males,open_age,Open-age (24–39),74,2023,1195,1195,189.95,1194,122.05,1195,222.19,2026-08-31
M,Males,open_age,Open-age (24–39),74,2024,1411,1411,192.69,1411,124.05,1411,223.53,2026-08-31
M,Males,open_age,Open-age (24–39),74,2025,1573,1573,194.13,1573,124.56,1573,224.11,2026-08-31
M,Males,open_age,Open-age (24–39),74,2026,784,784,195.24,784,126.01,784,226.49,2026-08-31
M,Males,open_age,Open-age (24–39),83,2022,1531,1531,199.36,1530,131.14,1531,232.29,2026-08-31
M,Males,open_age,Open-age (24–39),83,2023,1920,1918,202.74,1920,131.49,1919,234.44,2026-08-31
M,Males,open_age,Open-age (24–39),83,2024,2314,2314,206.91,2314,132.81,2313,237.52,2026-08-31
M,Males,open_age,Open-age (24–39),83,2025,2699,2699,209.37,2699,134.27,2699,239.21,2026-08-31
M,Males,open_age,Open-age (24–39),83,2026,1314,1314,210.76,1314,134.42,1314,240.34,2026-08-31
M,Males,open_age,Open-age (24–39),83+,2022,2,2,250.0,2,160.0,2,271.25,2026-08-31
M,Males,open_age,Open-age (24–39),83+,2023,2,2,252.5,2,160.0,2,288.75,2026-08-31
M,Males,open_age,Open-age (24–39),83+,2026,1,1,252.5,1,168.0,1,275.0,2026-08-31
M,Males,open_age,Open-age (24–39),85,2024,1,1,165.0,1,112.5,1,220.0,2026-08-31
M,Males,open_age,Open-age (24–39),85+,2024,3,3,198.33,3,142.5,3,238.33,2026-08-31
M,Males,open_age,Open-age (24–39),93,2022,1877,1877,214.56,1877,141.24,1877,245.87,2026-08-31
M,Males,open_age,Open-age (24–39),93,2023,2223,2223,215.38,2223,140.33,2223,247.01,2026-08-31
M,Males,open_age,Open-age (24–39),93,2024,2802,2801,218.71,2801,141.47,2802,247.89,2026-08-31
M,Males,open_age,Open-age (24–39),93,2025,3200,3200,220.15,3200,142.21,3200,247.83,2026-08-31
M,Males,open_age,Open-age (24–39),93,2026,1667,1667,222.38,1667,143.07,1667,250.27,2026-08-31
M,Males,open_age,Open-age (24–39),93+,2022,10,10,227.0,10,138.75,10,237.5,2026-08-31
M,Males,open_age,Open-age (24–39),93+,2023,8,8,221.88,8,150.0,8,241.56,2026-08-31
M,Males,open_age,Open-age (24–39),93+,2024,10,10,241.25,10,153.75,10,274.25,2026-08-31
M,Males,open_age,Open-age (24–39),93+,2025,19,19,213.95,19,137.24,19,238.82,2026-08-31
M,Males,open_age,Open-age (24–39),93+,2026,12,12,226.46,12,144.58,12,263.21,2026-08-31
M,Males,open_age,Open-age (24–39),105,2022,1426,1426,227.04,1426,149.45,1426,256.8,2026-08-31
M,Males,open_age,Open-age (24–39),105,2023,1850,1849,229.54,1848,149.89,1850,257.43,2026-08-31
M,Males,open_age,Open-age (24–39),105,2024,2282,2282,235.14,2281,151.32,2282,260.34,2026-08-31
M,Males,open_age,Open-age (24–39),105,2025,2683,2683,234.47,2682,151.4,2682,259.7,2026-08-31
M,Males,open_age,Open-age (24–39),105,2026,1373,1373,237.43,1373,151.37,1373,260.32,2026-08-31
M,Males,open_age,Open-age (24–39),105+,2022,2,2,241.25,2,172.5,2,265.0,2026-08-31
M,Males,open_age,Open-age (24–39),105+,2024,4,4,169.38,4,114.38,4,199.38,2026-08-31
M,Males,open_age,Open-age (24–39),105+,2025,2,2,168.75,2,117.5,2,215.0,2026-08-31
M,Males,open_age,Open-age (24–39),120,2022,777,777,244.19,777,159.8,777,266.39,2026-08-31
M,Males,open_age,Open-age (24–39),120,2023,981,981,246.49,980,160.79,980,267.62,2026-08-31
M,Males,open_age,Open-age (24–39),120,2024,1205,1205,250.17,1205,161.46,1205,270.76,2026-08-31
M,Males,open_age,Open-age (24–39),120,2025,1483,1483,250.15,1483,160.89,1483,269.23,2026-08-31
M,Males,open_age,Open-age (24–39),120,2026,785,785,252.9,785,162.47,785,272.56,2026-08-31
M,Males,open_age,Open-age (24–39),120+,2022,386,386,261.72,385,173.16,386,272.96,2026-08-31
M,Males,open_age,Open-age (24–39),120+,2023,498,498,262.43,498,170.95,498,272.66,2026-08-31
M,Males,open_age,Open-age (24–39),120+,2024,642,642,266.84,642,171.56,642,272.97,2026-08-31
M,Males,open_age,Open-age (24–39),120+,2025,722,722,264.66,722,172.23,722,272.23,2026-08-31
M,Males,open_age,Open-age (24–39),120+,2026,353,353,272.48,353,170.91,353,273.05,2026-08-31
M,Males,masters_1,Masters 1 (40–49),59,2022,33,33,131.06,33,89.09,33,159.09,2026-08-31
M,Males,masters_1,Masters 1 (40–49),59,2023,39,39,140.53,39,89.35,39,169.87,2026-08-31
M,Males,masters_1,Masters 1 (40–49),59,2024,43,43,145.67,43,98.58,43,175.35,2026-08-31
M,Males,masters_1,Masters 1 (40–49),59,2025,55,55,146.41,55,99.23,55,174.79,2026-08-31
M,Males,masters_1,Masters 1 (40–49),59,2026,30,30,147.78,30,96.53,30,176.05,2026-08-31
M,Males,masters_1,Masters 1 (40–49),66,2022,106,106,156.72,106,104.48,106,190.72,2026-08-31
M,Males,masters_1,Masters 1 (40–49),66,2023,114,114,158.56,114,107.65,114,192.15,2026-08-31
M,Males,masters_1,Masters 1 (40–49),66,2024,129,129,157.95,129,104.51,129,187.41,2026-08-31
M,Males,masters_1,Masters 1 (40–49),66,2025,132,132,167.79,132,110.27,132,202.44,2026-08-31
M,Males,masters_1,Masters 1 (40–49),66,2026,74,74,168.45,74,112.77,74,201.65,2026-08-31
M,Males,masters_1,Masters 1 (40–49),74,2022,182,182,167.85,182,113.54,182,197.96,2026-08-31
M,Males,masters_1,Masters 1 (40–49),74,2023,205,205,168.75,205,114.54,205,201.24,2026-08-31
M,Males,masters_1,Masters 1 (40–49),74,2024,230,230,169.95,230,113.68,230,198.68,2026-08-31
M,Males,masters_1,Masters 1 (40–49),74,2025,242,242,176.9,242,117.84,242,207.93,2026-08-31
M,Males,masters_1,Masters 1 (40–49),74,2026,186,186,171.07,186,112.25,186,204.36,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83,2022,329,329,179.92,328,122.22,328,210.37,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83,2023,387,387,183.9,387,123.18,387,212.28,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83,2024,368,368,188.79,368,125.83,368,217.47,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83,2025,431,431,187.6,431,123.26,431,218.7,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83,2026,268,268,187.56,268,123.23,268,217.85,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83+,2022,6,6,202.5,6,141.25,6,207.5,2026-08-31
